Feature,User type,Business purpose,Implementation files,Status: complete/partial/missing/unknown,Dependencies,Data used,Risks,Recommended next action
actions,Operator/admin/system depending on module,Domain capability for actions,modules/actions/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
activation,Operator/admin/system depending on module,Domain capability for activation,modules/activation/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
attribution,Operator/admin/system depending on module,Domain capability for attribution,modules/attribution/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
auth,Operator/admin/system depending on module,Domain capability for auth,modules/auth/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
automation,Operator/admin/system depending on module,Domain capability for automation,modules/automation/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
capture,Operator/admin/system depending on module,Domain capability for capture,modules/capture/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
channels,Operator/admin/system depending on module,Domain capability for channels,modules/channels/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
command,Operator/admin/system depending on module,Domain capability for command,modules/command/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
commercial,Operator/admin/system depending on module,Domain capability for commercial,modules/commercial/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
customer-zero,Operator/admin/system depending on module,Domain capability for customer-zero,modules/customer-zero/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
demo,Operator/admin/system depending on module,Domain capability for demo,modules/demo/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
deployment,Operator/admin/system depending on module,Domain capability for deployment,modules/deployment/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
execution,Operator/admin/system depending on module,Domain capability for execution,modules/execution/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
funnel,Operator/admin/system depending on module,Domain capability for funnel,modules/funnel/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
integrations,Operator/admin/system depending on module,Domain capability for integrations,modules/integrations/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
leaks,Operator/admin/system depending on module,Domain capability for leaks,modules/leaks/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
operating-room,Operator/admin/system depending on module,Domain capability for operating-room,modules/operating-room/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
opportunities,Operator/admin/system depending on module,Domain capability for opportunities,modules/opportunities/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
pages,Operator/admin/system depending on module,Domain capability for pages,modules/pages/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
payments,Operator/admin/system depending on module,Domain capability for payments,modules/payments/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
pipeline,Operator/admin/system depending on module,Domain capability for pipeline,modules/pipeline/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
playbooks,Operator/admin/system depending on module,Domain capability for playbooks,modules/playbooks/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
portfolio,Operator/admin/system depending on module,Domain capability for portfolio,modules/portfolio/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
proof,Operator/admin/system depending on module,Domain capability for proof,modules/proof/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
provisioning,Operator/admin/system depending on module,Domain capability for provisioning,modules/provisioning/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
realtime,Operator/admin/system depending on module,Domain capability for realtime,modules/realtime/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
recommendations,Operator/admin/system depending on module,Domain capability for recommendations,modules/recommendations/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
release,Operator/admin/system depending on module,Domain capability for release,modules/release/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
repairs,Operator/admin/system depending on module,Domain capability for repairs,modules/repairs/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
repeatability,Operator/admin/system depending on module,Domain capability for repeatability,modules/repeatability/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
reports,Operator/admin/system depending on module,Domain capability for reports,modules/reports/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
revenue-desk,Operator/admin/system depending on module,Domain capability for revenue-desk,modules/revenue-desk/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
sales-ops,Operator/admin/system depending on module,Domain capability for sales-ops,modules/sales-ops/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
scheduler,Operator/admin/system depending on module,Domain capability for scheduler,modules/scheduler/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
security,Operator/admin/system depending on module,Domain capability for security,modules/security/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
tenancy,Operator/admin/system depending on module,Domain capability for tenancy,modules/tenancy/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
whatsapp,Operator/admin/system depending on module,Domain capability for whatsapp,modules/whatsapp/src,Code-present; UX completeness varies,API/server/db/tests depending on module,Tenant/control data depending on service,Needs per-feature product QA and docs,Map feature to UX and acceptance criteria
